id,apellido,nombre,genero,distrito,inicio,fin,juramento,cese,bloque,bloque_inicio,bloque_fin
hcdn1304,tineo,javier hector,m,la rioja,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn3227,tita,paulo agustin,m,tierra del fuego,2025-12-10,2029-12-09,,2029-12-09,unión por la patria,2025-12-10,2029-12-09
hcdn3083,todero,pablo,m,neuquen,2023-12-10,2027-12-09,2023-12-07,2027-12-09,unión por la patria,2023-12-10,2027-12-09
hcdn1400,toledo,susana maria,f,santa cruz,2013-12-10,2017-12-09,2013-12-04,2017-12-09,ucr,2013-12-10,2017-12-09
hcdn2896,tolosa paz,victoria,f,buenos aires,2021-12-10,2025-12-09,2021-12-07,2022-10-12,frente de todos,2021-12-10,2022-10-12
hcdn2896,tolosa paz,victoria,f,buenos aires,2023-12-10,2027-12-09,2023-12-07,2027-12-09,unión por la patria,2023-12-10,2027-12-09
hcdn1215,tomas,hector daniel,m,san juan,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente para la victoria - pj,2009-12-10,2013-12-09
hcdn1215,tomas,hector daniel,m,san juan,2013-12-10,2017-12-09,2013-12-04,2016-11-11,frente para la victoria - pj,2013-12-10,2016-11-11
hcdn1354,tomassi,nestor nicolas,m,catamarca,2013-12-10,2017-12-09,2013-12-04,2017-12-09,frente para la victoria - pj,2013-12-10,2016-02-03
hcdn1354,tomassi,nestor nicolas,m,catamarca,2013-12-10,2017-12-09,2013-12-04,2017-12-09,justicialista,2016-02-04,2017-12-09
hcdn3213,tomassoni,yamile,f,santa fe,2025-12-10,2029-12-09,,2029-12-09,la libertad avanza,2025-12-10,2029-12-09
hcdn0926,tonelli,pablo gabriel,m,ciudad de buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,pro,2011-12-10,2013-12-09
hcdn0926,tonelli,pablo gabriel,m,ciudad de buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,union pro,2013-12-10,2015-12-09
hcdn0926,tonelli,pablo gabriel,m,ciudad de buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,union pro,2015-12-10,2017-12-09
hcdn0926,tonelli,pablo gabriel,m,ciudad de buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,pro,2017-12-10,2019-12-09
hcdn0926,tonelli,pablo gabriel,m,ciudad de buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,pro,2019-12-10,2023-12-09
hcdn2889,toniolli,eduardo,m,santa fe,2021-12-10,2025-12-09,2021-12-07,2025-12-09,frente de todos,2021-12-10,2023-12-09
hcdn2889,toniolli,eduardo,m,santa fe,2021-12-10,2025-12-09,2021-12-07,2025-12-09,unión por la patria,2023-12-10,2025-12-09
hcdn1449,torello,pablo,m,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,union pro,2015-12-10,2017-12-09
hcdn1449,torello,pablo,m,buenos aires,2015-12-10,2019-12-09,2015-12-04,2019-12-09,pro,2017-12-10,2019-12-09
hcdn1449,torello,pablo,m,buenos aires,2019-12-10,2023-12-09,2019-12-04,2023-12-09,pro,2019-12-10,2023-12-09
hcdn1041,torfe,monica liliana,f,salta,2007-12-10,2011-12-09,2007-12-05,2011-12-09,renovador de salta,2007-12-10,2011-12-09
hcdn3109,torres,alejandra,f,cordoba,2023-12-10,2027-12-09,2023-12-07,2027-12-09,hacemos por nuestro país,2023-12-10,2023-12-27
hcdn3109,torres,alejandra,f,cordoba,2023-12-10,2027-12-09,2023-12-07,2027-12-09,hacemos coalición federal,2023-12-27,2024-08-07
hcdn3109,torres,alejandra,f,cordoba,2023-12-10,2027-12-09,2023-12-07,2027-12-09,encuentro federal,2024-08-07,2025-12-10
hcdn3109,torres,alejandra,f,cordoba,2023-12-10,2027-12-09,2023-12-07,2027-12-09,provincias unidas,2025-12-10,2027-12-09
