id_diputado,nombre,apellido,nombre_completo,genero,distritos,cantidad_distritos,cantidad_bloques,fecha_inicio,fecha_fin
hcdn1338,gilberto oscar,alegre,gilberto oscar alegre,m,buenos aires,1,2,2013-12-10,2017-12-09
hcdn1339,marcelo silvio,d alessandro,marcelo silvio d alessandro,m,buenos aires,1,2,2013-12-10,2017-12-09
hcdn1340,hector ricardo,daer,hector ricardo daer,m,buenos aires,1,3,2013-12-10,2017-12-09
hcdn1341,maria azucena,ehcosor,maria azucena ehcosor,f,buenos aires,1,2,2013-12-10,2017-12-09
hcdn1342,eduardo alberto,fabiani,eduardo alberto fabiani,m,buenos aires,1,4,2013-12-10,2017-12-09
hcdn1343,ruben dario,giustozzi,ruben dario giustozzi,m,buenos aires,1,4,2013-12-10,2017-12-09
hcdn1344,hector maria,gutierrez,hector maria gutierrez,m,buenos aires,1,1,2013-12-10,2017-12-09
hcdn1345,sandro adrian,guzman,sandro adrian guzman,m,buenos aires,1,5,2013-12-10,2017-12-09
hcdn1346,martin,insaurralde,martin insaurralde,m,buenos aires,1,1,2013-12-10,2017-12-09
hcdn1347,veronica maria,magario,veronica maria magario,f,buenos aires,1,1,2013-12-10,2017-12-09
hcdn1348,nestor antonio,pitrola,nestor antonio pitrola,m,buenos aires,1,1,2013-12-10,2019-12-09
hcdn1349,oscar alberto,romero,oscar alberto romero,m,buenos aires,1,2,2013-12-10,2017-12-09
hcdn1350,maria liliana,schwindt,maria liliana schwindt,f,buenos aires,1,3,2013-12-10,2021-12-09
hcdn1351,gabriela alejandra,troiano,gabriela alejandra troiano,f,buenos aires,1,1,2013-12-10,2017-12-09
hcdn1352,mirta,tundis,mirta tundis,f,buenos aires,1,3,2013-12-10,2021-12-09
hcdn1353,myrian del valle,juarez,myrian del valle juarez,f,catamarca,1,1,2013-12-10,2017-12-09
hcdn1354,nestor nicolas,tomassi,nestor nicolas tomassi,m,catamarca,1,2,2013-12-10,2017-12-09
hcdn1355,gustavo jose,martinez campos,gustavo jose martinez campos,m,chaco,1,2,2013-12-10,2017-12-09
hcdn1356,juan manuel,pedrini,juan manuel pedrini,m,chaco,1,3,2013-12-10,2025-12-09
hcdn1357,miguel angel,tejedor,miguel angel tejedor,m,chaco,1,1,2013-12-10,2017-12-09
hcdn1358,elia nelly,lagoria,elia nelly lagoria,f,chubut,1,1,2013-12-10,2017-12-09
hcdn1359,sergio alejandro,bergman,sergio alejandro bergman,m,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1360,juan,cabandie,juan cabandie,m,ciudad de buenos aires,1,1,2013-12-10,2021-12-09
hcdn1361,ana carla,carrizo,ana carla carrizo,f,ciudad de buenos aires,1,5,2013-12-10,2025-12-09
hcdn1362,liliana amalia,mazure,liliana amalia mazure,f,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1363,federico adolfo,sturzenegger,federico adolfo sturzenegger,m,ciudad de buenos aires,1,1,2013-12-10,2017-12-09
hcdn1364,hector w.,baldassi,hector w. baldassi,m,cordoba,1,2,2013-12-10,2025-12-09
