"ID","APELLIDO","NOMBRE","GENERO","DISTRITO","INICIO","FIN","JURAMENTO","CESE","BLOQUE","BLOQUE_INICIO","BLOQUE_FIN"
"HCDN0917","SARGHINI","JORGE EMILIO","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2019-12-19T00:00:00","2021-12-09T00:00:00","CONSENSO FEDERAL","2019-12-19T14:50:50","2021-12-09T00:00:00"
"HCDN0791","SARTORI","DIEGO HORACIO","M","MISIONES","2019-12-10T00:00:00","2023-12-09T00:00:00","2019-12-04T00:00:00","2023-12-09T00:00:00","FRENTE DE LA CONCORDIA MISIONERO","2019-12-10T00:00:00","2023-12-09T00:00:00"
"HCDN1085","SATRAGNO","LIDIA ELSA","F","BUENOS AIRES","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-19T00:00:00","2011-12-09T00:00:00","PRO","2007-12-10T00:00:00","2011-12-09T00:00:00"
"HCDN2883","SAYAGO","SILVIA","F","SANTIAGO DEL ESTERO","2021-12-10T00:00:00","2025-12-09T00:00:00","2021-12-07T00:00:00","2021-12-12T00:00:00","FRENTE DE TODOS","2021-12-10T00:00:00","2021-12-12T00:00:00"
"HCDN1404","SCAGLIA","GISELA","F","SANTA FE","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","UNION PRO","2013-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1404","SCAGLIA","GISELA","F","SANTA FE","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","PRO","2017-12-10T00:00:00","2021-12-09T00:00:00"
"HCDN1404","SCAGLIA","GISELA","F","SANTA FE","2025-12-10T00:00:00","2029-12-09T00:00:00",NA,"2029-12-09T00:00:00","PROVINCIAS UNIDAS","2025-12-10T00:00:00","2029-12-09T00:00:00"
"HCDN1040","SCALESI","JUAN CARLOS","M","RIO NEGRO","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","DE LA CONCERTACION","2007-12-10T00:00:00","2008-08-13T00:00:00"
"HCDN1040","SCALESI","JUAN CARLOS","M","RIO NEGRO","2007-12-10T00:00:00","2011-12-09T00:00:00","2007-12-05T00:00:00","2011-12-09T00:00:00","CONSENSO FEDERAL","2008-08-14T00:00:00","2011-12-09T00:00:00"
"HCDN0646","SCHIARETTI","JUAN","M","CORDOBA","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2015-12-09T00:00:00","UNION POR CORDOBA","2013-12-10T00:00:00","2015-12-09T00:00:00"
